Country,Allies,Organizations,Climate_Stance,Major_Rivals
United States,"United Kingdom, France, Japan, South Korea, Germany","NATO, United Nations, WTO, G7","Supports climate agreements with focus on economic balance","China, Russia, Iran"
China,"Russia, Pakistan, North Korea","BRICS, United Nations, WTO, SCO","Supports climate action while prioritizing development","United States, Taiwan, Japan"
India,"United States, France, Japan, Russia","BRICS, G20, United Nations, QUAD","Supports sustainable development and climate justice","Pakistan, China"
Russia,"China, Belarus, Iran","BRICS, United Nations, SCO","Supports gradual climate measures","United States, Ukraine, NATO"
United Kingdom,"United States, France, Canada, Australia","NATO, G7, United Nations","Strong supporter of climate action","Russia"
France,"Germany, United States, United Kingdom","EU, NATO, United Nations, G7","Strong advocate for global climate agreements","Russia"
Germany,"France, United States, Poland","EU, NATO, G7","Leader in renewable energy transition","Russia"
Japan,"United States, Australia, India","G7, United Nations, QUAD","Supports advanced clean energy initiatives","China, North Korea"
South Korea,"United States, Japan","United Nations, OECD","Supports green industrial policies","North Korea"
North Korea,"China, Russia","United Nations","Limited climate engagement","South Korea, United States, Japan"
Pakistan,"China, Turkey, Saudi Arabia","OIC, United Nations, SCO","Supports climate finance for developing nations","India"
Brazil,"Argentina, China, India","BRICS, G20, United Nations","Focuses on rainforest protection and development balance",""
Canada,"United States, United Kingdom, France","NATO, G7, United Nations","Supports ambitious climate policies",""
Australia,"United States, United Kingdom, Japan","QUAD, United Nations, G20","Supports clean energy transition","China"
Italy,"France, Germany, United States","EU, NATO, G7","Supports EU climate policies",""
Spain,"France, Germany, United States","EU, NATO, United Nations","Supports renewable energy expansion",""
Turkey,"Pakistan, Qatar, Azerbaijan","NATO, OIC, United Nations","Developing climate policies","Greece, Syria"
Saudi Arabia,"United States, UAE, Pakistan","OPEC, OIC, G20","Supports gradual energy transition","Iran"
Iran,"Russia, China, Syria","OIC, United Nations","Limited climate cooperation due to sanctions","United States, Saudi Arabia, Israel"
Israel,"United States, Germany, India","United Nations, OECD","Invests heavily in climate technology","Iran, Hamas"
Ukraine,"United States, United Kingdom, Poland","United Nations","Supports European climate standards","Russia"
Poland,"United States, Germany, Ukraine","EU, NATO","Transitioning from coal dependence","Russia"
Norway,"United States, United Kingdom, Germany","NATO, United Nations","Strong climate finance supporter",""
Sweden,"Finland, United States, Germany","EU, NATO, United Nations","Leader in sustainability","Russia"
Finland,"Sweden, United States, Germany","EU, NATO","Supports green innovation","Russia"
Denmark,"Germany, United States, Norway","EU, NATO","Leader in wind energy",""
Netherlands,"Germany, France, United States","EU, NATO","Supports sustainable agriculture and climate action",""
Belgium,"France, Germany, United States","EU, NATO","Supports EU climate goals",""
Switzerland,"EU nations, United States","United Nations","Supports international climate cooperation",""
Austria,"Germany, France, Italy","EU, United Nations","Supports clean energy transition",""
Greece,"France, United States, Cyprus","EU, NATO","Supports Mediterranean climate cooperation","Turkey"
Egypt,"Saudi Arabia, United States, UAE","Arab League, OIC, United Nations","Supports climate finance for Africa",""
South Africa,"China, Russia, India","BRICS, African Union, United Nations","Supports just energy transition",""
Nigeria,"United States, United Kingdom, ECOWAS nations","African Union, OPEC, United Nations","Seeks climate aid and energy development",""
Argentina,"Brazil, China","G20, United Nations","Supports agricultural sustainability",""
Mexico,"United States, Canada","USMCA, G20, United Nations","Supports renewable energy with economic concerns",""
Indonesia,"ASEAN nations, China, Japan","ASEAN, G20, United Nations","Focuses on rainforest and marine protection",""
Malaysia,"ASEAN nations, China","ASEAN, OIC, United Nations","Supports sustainable development",""
Singapore,"United States, ASEAN nations","ASEAN, United Nations","Supports green urban development",""
Thailand,"ASEAN nations, United States","ASEAN, United Nations","Supports climate adaptation efforts",""
Vietnam,"ASEAN nations, India, United States","ASEAN, United Nations","Supports sustainable economic growth","China"
Philippines,"United States, Japan, Australia","ASEAN, United Nations","Focuses on disaster resilience","China"
New Zealand,"Australia, United States, United Kingdom","United Nations, Commonwealth","Strong supporter of environmental action",""
UAE,"Saudi Arabia, United States, India","OPEC, OIC, United Nations","Investing in renewable energy diversification","Iran"
Qatar,"Turkey, United States","OPEC, OIC, United Nations","Supports sustainable energy transition","Saudi Arabia"
Syria,"Russia, Iran","United Nations","Limited climate policy due to conflict","Turkey, United States"
